title|original_title|release_year|length|genres|average_rating|nb_votes
Unhinged|Unhinged|2020|90|Action,Thriller|6,2|7407
Heinz|Heinz|1018|\N|Animation|6,0|36
The Knight Before Christmas|The Knight Before Christmas|2019|92|Adventure,Comedy,Drama|5,5|12330
Hellcat's Revenge II: Deadman's Hand|Hellcat's Revenge II: Deadman's Hand|2019|82|Action,Thriller|4,8|29
Hot Gimmick: Girl Meets Boy|Hot Gimmick: Girl Meets Boy|2019|119|Drama|4,5|245
Yücel'in Çiçekleri|Yücel'in Çiçekleri|1018|69|Documentary,History|8,2|115
Lustrum|Lustrum|1018|90|Documentary|5,9|25
Unmadiyude Maranam|Unmadiyude Maranam|2019|78|Fantasy|7,4|12
Guilty|Guilty|2020|119|Drama,Thriller|5,4|3517
O Olho e a Faca|O Olho e a Faca|2019|99|Drama,Thriller|5,2|34
Sasha's Hell|Sasha's Hell|2019|98|Drama,Horror|7,2|10
Puck & Hans - Made in Holland|Puck & Hans - Made in Holland|2019|52|Documentary|7,9|7
Cyberlante|Cyberlante|2020|73|Thriller|8,4|11
Jaddi Sardar|Jaddi Sardar|2019|150|Action,Drama,Romance|6,0|43
Inland|Inland|2019|95|Documentary|8,1|19
Because We Are Girls|Because We Are Girls|2019|85|Documentary|7,8|68
Charismatic Megafauna|Charismatic Megafauna|2019|\N|Documentary|7,1|7
Inverse Everest|Inverse Everest|2019|\N|Documentary|7,4|5
Man on the Bus|Man on the Bus|2019|84|Documentary|8,8|12
Antebellum|Antebellum|2020|105|Drama,Horror,Mystery|5,5|8413
My Nudity Means Nothing|Ma nudité ne sert à rien|2019|85|Drama|5,5|19
No Longer Human|Ningen shikkaku: Dazai Osamu to 3-nin no onnatachi|2019|120|Biography,Drama,Thriller|5,9|271
The Big Step|Il grande passo|2019|96|Comedy|6,1|62
Song of Youth|Lao shi · Hao|2019|\N|Drama|6,2|214
Ya ne splyu|Ya ne splyu|2020|\N|Horror|5,9|39
Mantan Manten|Mantan Manten|2019|102|Drama,Romance|7,1|122
The Happiest Man on Earth|Miehiä ja poikia|2019|85|Documentary|7,1|206
Made in Abyss: Journey's Dawn|Made in Abyss: Tabidachi no Yoake|2019|119|Adventure,Animation,Family|7,3|193
Made in Abyss: Wandering Twilight|Made in Abyss: Hôrô Suru Tasogare|2019|110|Adventure,Animation,Fantasy|7,7|161
Made in Abyss: Dawn of the Deep Soul|Made in Abyss: Fukaki Tamashî no Reimei|2020|113|Adventure,Animation,Fantasy|8,2|572
Seytan-i Ins|Seytan-i Ins|2019|82|Horror|4,9|102
Rise of the Machine Girls|Bakuretsu mashin shôjo - bâsuto mashin gâru|2019|75|Action|5,0|30
The Mountain Minor|The Mountain Minor|2019|87|Drama|6,6|75
Bunker of Blood 07: Killjoys Carnage Caravan|Bunker of Blood 07: Killjoys Carnage Caravan|2019|88|Horror|3,7|17
Mazlum Kuzey & Kuddusi 2 La! Kasada Para Var!|Mazlum Kuzey & Kuddusi 2 La! Kasada Para Var!|2019|\N|Comedy|2,3|64
Zhili-byli my|Zhili-byli my|2017|97|Family|4,0|7
The Shadow of Gold|The Shadow of Gold|2019|78|Documentary|7,3|28
Once in a Hundred Years: The Life and Legacy of Marian Anderson|Once in a Hundred Years: The Life and Legacy of Marian Anderson|2019|\N|Documentary|9,0|6
Last Fool Show|Last Fool Show|2019|110|Comedy,Romance|6,7|19
Vortex|Ting er zou xian|2019|103|Drama|5,9|79
Liberation|Liberation|2019|103|Drama,War|6,1|48
La Feliz, continuidades de la violencia|La Feliz, continuidades de la violencia|2019|84|Documentary|7,6|7
Os Jovens Baumann|Os Jovens Baumann|1018|70|Family|5,8|29
Rahasyam|Rahasyam|2019|100|Horror,Thriller|6,9|17
The Little Prince|The Little Prince|2019|93|Action|7,0|6
Classic Again|Classic Again|2020|123|Drama,Romance|7,3|98
