Year,Incident cost,Description,Animal group,Property type,Property category,Service type,"Ward code
",Ward,Borough Code,Borough,Station,Postcode,Latitude,Longitude
2009,255,"ANIMAL TRAPPED IN CUPBOARD                       ,B15",Unknown - Heavy Livestock Animal,Private Garden Shed,Non Residential,Other animal assistance,E05000111,Chislehurst,E09000006,Bromley,Eltham,BR7,51.42268621,0.064096003
2009,255,"PIGEON TRAPPED IN MESH,B15",Bird,House - single occupancy,Dwelling,Animal rescue from height,E05000342,West Drayton,E09000017,Hillingdon,Hayes,UB7,NULL,NULL
2009,255,"RUNNING CALL TO SWAN TRAPPED IN NETTING, J15",Bird,Park,Outdoor,Animal rescue from water,E05000073,Danson Park,E09000004,Bexley,Bexley,DA6,51.45643893,0.118404478
2009,255,"CAT TRAPPED BETWEEN WALL AND FENCE,B15",Cat,Converted Flat/Maisonette - Up to 2 storeys,Dwelling,Other animal assistance,E05000599,High Street,E09000031,Waltham Forest,Walthamstow,E17,NULL,NULL
2009,255,"ASSIST RSPCA WITH CAT IN ROOF,B15",Cat,House - single occupancy,Dwelling,Animal rescue from height,E05009317,Bethnal Green,E09000030,Tower Hamlets,Bethnal Green,E1,NULL,NULL
2009,510,"ASSIST RSPCA WITH SMALL ANIMAL RESCUE,B15",Bird,House - single occupancy,Dwelling,Animal rescue from height,E05000486,Green Street West,E09000025,Newham,Stratford,E7,NULL,NULL
2009,255,"SHEEP IN RIVER,J15,WR1",Sheep,River/canal,Outdoor,Animal rescue from water,E05000593,Chingford Green,E09000031,Waltham Forest,Chingford,E4,51.63730176,-0.014284793
2009,255,"ASSIST RSPCA WITH CAT TRAPPED BETWEEN 2 WALLS,B15",Cat,Domestic garden (vegetation not equipment),Outdoor,Animal rescue from below ground,E05000529,South Twickenham,E09000027,Richmond upon Thames,Twickenham,TW1,51.43873711,-0.331805652
2009,255,"BIRD TRAPPED IN CHIMNEY,B15",Bird,Purpose Built Flats/Maisonettes - 4 to 9 storeys,Dwelling,Animal rescue from height,E05011468,Fairfield,E09000008,Croydon,Croydon,CR0,NULL,NULL
2009,255,"CAT STUCK UP TREE,B15",Cat,Tree scrub,Outdoor,Animal rescue from height,E05000195,Chase,E09000010,Enfield,Enfield,EN2,51.66858263,-0.083228566
2009,255,"CAT STUCK IN BASEMENT AREA,B15",Cat,House - single occupancy,Dwelling,Animal rescue from below ground,E05000138,Holborn and Covent Garden,E09000007,Camden,Soho,WC1N,NULL,NULL
2009,255,"SMALL ANIMAL RESCUE,B15",Unknown - Heavy Livestock Animal,Purpose Built Flats/Maisonettes - 4 to 9 storeys,Dwelling,Other animal assistance,E05000282,West Green,E09000014,Haringey,Hornsey,N15,NULL,NULL
2009,255,"CAT TRAPPED IN REAR GARDEN, B15",Cat,Domestic garden (vegetation not equipment),Outdoor,Other animal assistance,E05011110,Peckham,E09000028,Southwark,Old Kent Road,SE15,51.47865805,-0.062904025
2009,255,"DOG TRAPPED BEHIND GARDEN SHED,B15",Dog,Outdoor storage,Outdoor Structure,Other animal assistance,E05009329,St. Dunstan's,E09000030,Tower Hamlets,Bethnal Green,E14,51.51675404,-0.034953717
2009,255,"CAT TRAPPED IN LOCKED PREMISES,B3",Cat,Warehouse,Non Residential,Other animal assistance,E05000094,Kilburn,E09000005,Brent,West Hampstead,NW6,51.54013744,-0.198646295
