Petition,URL,State,Signatures Count
Make dentistry free at the point of delivery for all and fees payable later,https://petition.parliament.uk/archived/petitions/200378,closed,61
Appoint an independent 3rd party to undertake all complaints against the BBC.,https://petition.parliament.uk/archived/petitions/200379,rejected,8
Fund free rail travel to school for children,https://petition.parliament.uk/archived/petitions/200380,closed,26
To make every person who works driving HGV in this country pass a UK HGV test,https://petition.parliament.uk/archived/petitions/200381,closed,245
"Ban the word ""unlimited"" from marketing unless it is actually true",https://petition.parliament.uk/archived/petitions/200384,rejected,6
Ban Transfat in food production,https://petition.parliament.uk/archived/petitions/200385,closed,67
Install a segragated cycle/footpath along the A712 from Reigate to Horley.,https://petition.parliament.uk/archived/petitions/200386,rejected,12
Sex crimes against children to receive harsher penalties and mandatory jail time,https://petition.parliament.uk/archived/petitions/200389,closed,4014
Reduce the amount of time from 5 years to 3 for a divorce without consent.,https://petition.parliament.uk/archived/petitions/200391,closed,21
Fund the public sector Payrise with reform to the out dated overseas aid budget.,https://petition.parliament.uk/archived/petitions/200392,rejected,12
Investigate covert foreign interference in the EU referendum,https://petition.parliament.uk/archived/petitions/200394,closed,19653
Make safe standing zones a legal requirement for English Football league clubs.,https://petition.parliament.uk/archived/petitions/200398,closed,56
To only be able to claim benefits for 6 months if a person is out of work,https://petition.parliament.uk/archived/petitions/200404,rejected,6
Smart Brexit:  Rejoin the European Free Trade Association,https://petition.parliament.uk/archived/petitions/200405,rejected,6
Increase efficiency of motorways by permitting overtaking on the left.,https://petition.parliament.uk/archived/petitions/200407,closed,13
"Halve Tuition Fees, & bring back Maintenance Grants for all University students.",https://petition.parliament.uk/archived/petitions/200408,closed,246
Restrict terrorist content on social media sites to limit terrorist attacks .,https://petition.parliament.uk/archived/petitions/200409,rejected,6
Improve allergen labelling on food packaging.,https://petition.parliament.uk/archived/petitions/200410,closed,813
Create an official medal for emergency services involved in the London attacks.,https://petition.parliament.uk/archived/petitions/200413,closed,32
A referendum on the ‘Foreign Aid Budget’,https://petition.parliament.uk/archived/petitions/200414,closed,406
"UK put pressure on Burma to stop Genocide, Ethnic Cleansing of Rohingya Muslims.",https://petition.parliament.uk/archived/petitions/200415,rejected,10
Convicted terrorists should be jailed in special prisons for whole of life,https://petition.parliament.uk/archived/petitions/200416,closed,65
Re-nationalise the train service,https://petition.parliament.uk/archived/petitions/200418,closed,168
Renew Uber London's private hire operator licence as it's part of our life now.,https://petition.parliament.uk/archived/petitions/200421,rejected,14
UK Government to put forward a Venezuela Resolution in front of the UN,https://petition.parliament.uk/archived/petitions/200424,rejected,10
Every Knife sold through Retailers in the UK have tamper proof serial numbers.,https://petition.parliament.uk/archived/petitions/200426,closed,49
Don't leave the EU,https://petition.parliament.uk/archived/petitions/200427,closed,10990
Support the rights of children to access Grandparents and wider family,https://petition.parliament.uk/archived/petitions/200431,rejected,21
"Affordable Housing - truly affordable homes, not forged shared schemes.",https://petition.parliament.uk/archived/petitions/200433,rejected,6
Eradicate the loophole that allows railway stations to be closed by stealth,https://petition.parliament.uk/archived/petitions/200434,closed,263
Allow the £5 note to be withdrawn from all ATMs,https://petition.parliament.uk/archived/petitions/200436,rejected,6
"Stop BBC & ClassicFm colluding, thus enabling ClassicFM to operate as a monopoly",https://petition.parliament.uk/archived/petitions/200437,rejected,6
Make price gouging on concert and event tickets a fineable offence,https://petition.parliament.uk/archived/petitions/200441,rejected,6
Introduce compulsory political education in secondary schools,https://petition.parliament.uk/archived/petitions/200442,rejected,8
Stop Myxomatosis killing wild Rabbits by developing a lifetime vaccine,https://petition.parliament.uk/archived/petitions/200444,closed,265
Government to pay unpaid carers a real wage,https://petition.parliament.uk/archived/petitions/200446,rejected,6
"Introduce to UK, the US travel ban from the same 7 countries and use same policy",https://petition.parliament.uk/archived/petitions/200447,rejected,6
Impose a temporary Trump style travel ban on 6 predominately Muslim countries.,https://petition.parliament.uk/archived/petitions/200448,rejected,16
scrap 'smart' motorways and revert to a hard shoulder,https://petition.parliament.uk/archived/petitions/200449,closed,57
Make the punishment for animal abuse equal to the punishment for child abuse.,https://petition.parliament.uk/archived/petitions/200453,rejected,10
Give PCV licence holders category C1 licence aswell.,https://petition.parliament.uk/archived/petitions/200455,closed,163
Government to scrap carers allowance and replace with a real wage,https://petition.parliament.uk/archived/petitions/200457,rejected,6
Stop houses being built in bulk in Cornwall until infrastructure is improved.,https://petition.parliament.uk/archived/petitions/200458,rejected,6
Debate if it is correct for CICA to say young sexual assault victims consented,https://petition.parliament.uk/archived/petitions/200459,rejected,21
Death penalty for those found guilty of plotting or committing acts of terror,https://petition.parliament.uk/archived/petitions/200461,closed,305
Stop the killing of Burma Muslims,https://petition.parliament.uk/archived/petitions/200462,rejected,14
UK citizens should have the right to carry guns for self-defense,https://petition.parliament.uk/archived/petitions/200463,closed,173
Prevent the SNP from seeking an independence referendum for another generation.,https://petition.parliament.uk/archived/petitions/200464,rejected,6
Walk away from Brexit talks.,https://petition.parliament.uk/archived/petitions/200477,rejected,15
We the undersigned demand that government act to deal with Islamic terror.,https://petition.parliament.uk/archived/petitions/200478,rejected,21
Prevent Post Brexit British Armed Forces integration into an EU defence force.,https://petition.parliament.uk/archived/petitions/200483,rejected,6
"Prevent acid abuse, and provide justice for victims by stricter punishments.",https://petition.parliament.uk/archived/petitions/200486,rejected,6
Prevent President Buhari and all state Governors of Nigeria from entering the UK,https://petition.parliament.uk/archived/petitions/200488,closed,182
Introduce an Opt-Out Electoral Register (Automatic Voter Registration Bill),https://petition.parliament.uk/archived/petitions/200489,closed,211
Introduce a 20% cap on national media ownership.,https://petition.parliament.uk/archived/petitions/200490,closed,332
